iter	Passed	Remaining
0	61	61780
1	67	33779
2	68	22692
3	68	17143
4	69	13796
5	69	11559
6	70	9959
7	70	8760
8	71	7826
9	71	7081
10	71	6470
11	72	5961
12	72	5529
13	73	5160
14	73	4840
15	74	4559
16	74	4311
17	75	4091
18	75	3894
19	77	3806
20	78	3647
21	78	3503
22	79	3371
23	79	3247
24	80	3131
25	80	3024
26	81	2925
27	81	2833
28	82	2746
29	82	2666
30	82	2591
31	83	2520
32	83	2454
33	84	2391
34	84	2333
35	85	2277
36	85	2224
37	85	2174
38	86	2127
39	86	2082
40	87	2039
41	87	1998
42	88	1959
43	88	1921
44	88	1886
45	89	1852
46	89	1819
47	90	1788
48	90	1758
49	91	1730
50	91	1702
51	91	1675
52	92	1650
53	92	1625
54	93	1602
55	93	1579
56	94	1557
57	94	1535
58	94	1514
59	95	1494
60	95	1474
61	96	1456
62	96	1441
63	97	1428
64	98	1415
65	98	1400
66	99	1385
67	99	1365
68	100	1350
69	100	1335
70	100	1320
71	101	1306
72	101	1292
73	102	1278
74	102	1265
75	103	1254
76	103	1244
77	104	1233
78	108	1259
79	108	1248
80	109	1238
81	109	1227
82	110	1218
83	110	1207
84	111	1195
85	111	1185
86	111	1173
87	112	1164
88	112	1155
89	113	1147
90	114	1138
91	114	1130
92	114	1121
93	115	1112
94	115	1103
95	116	1095
96	116	1086
97	117	1077
98	117	1069
99	117	1061
100	118	1053
101	118	1043
102	118	1035
103	119	1028
104	119	1021
105	120	1015
106	120	1009
107	140	1161
108	141	1153
109	141	1146
110	142	1139
111	142	1131
112	143	1123
113	143	1115
114	143	1107
115	144	1099
116	144	1091
117	145	1084
118	145	1076
119	145	1069
120	146	1062
121	146	1055
122	146	1046
123	147	1039
124	147	1033
125	148	1026
126	148	1020
127	148	1012
128	149	1006
129	149	1000
130	149	994
131	150	988
132	150	982
133	151	976
134	151	971
135	151	965
136	152	960
137	152	953
138	153	948
139	153	943
140	153	937
141	154	932
142	154	927
143	155	922
144	155	917
145	156	912
146	156	907
147	156	902
148	157	898
149	157	893
150	158	888
151	158	884
152	158	879
153	159	875
154	159	871
155	164	891
156	165	887
157	165	883
158	166	880
159	166	876
160	167	872
161	168	869
162	168	865
163	169	862
