iter	Passed	Remaining
0	59	59310
1	59	29838
2	60	20016
3	60	15145
4	61	12193
5	61	10249
6	62	8837
7	62	7773
8	63	6942
9	63	6277
10	63	5750
11	64	5300
12	64	4921
13	65	4594
14	65	4312
15	66	4070
16	66	3851
17	66	3654
18	67	3480
19	67	3321
20	68	3175
21	68	3043
22	68	2923
23	69	2814
24	69	2715
25	70	2624
26	70	2538
27	70	2459
28	71	2385
29	71	2319
30	72	2255
31	72	2193
32	72	2137
33	73	2084
34	73	2034
35	74	1987
36	74	1942
37	75	1899
38	75	1858
39	75	1822
40	76	1789
41	76	1754
42	77	1720
43	77	1690
44	78	1660
45	78	1631
46	79	1608
47	79	1583
48	80	1558
49	80	1533
50	81	1511
51	81	1487
52	82	1466
53	82	1444
54	82	1424
55	83	1405
56	83	1388
57	84	1369
58	84	1352
59	85	1336
60	85	1319
61	86	1304
62	86	1289
63	87	1273
64	87	1257
65	87	1243
66	88	1229
67	88	1216
68	89	1202
69	89	1189
70	90	1178
71	90	1165
72	90	1153
73	91	1141
74	91	1130
75	92	1119
76	92	1108
77	92	1099
78	93	1088
79	93	1078
80	94	1068
81	94	1058
82	94	1047
83	95	1039
84	95	1031
85	96	1022
86	96	1014
87	97	1005
88	97	996
89	97	989
90	98	981
91	98	974
92	99	966
93	99	960
94	100	953
95	100	946
96	100	939
97	101	932
98	101	925
99	102	919
100	102	912
101	102	905
102	103	900
103	103	894
104	104	887
105	104	881
106	105	876
107	105	870
108	105	865
109	106	859
110	106	853
111	107	849
112	107	845
113	108	839
114	108	835
115	108	830
116	109	824
117	109	819
118	110	815
119	110	810
120	110	805
121	111	800
122	111	796
123	112	792
124	112	787
125	112	783
126	113	778
127	113	774
128	114	770
129	114	766
130	114	762
131	115	758
132	115	754
133	116	752
134	116	748
135	117	745
136	117	741
137	118	738
138	118	734
139	119	731
140	119	727
141	119	723
142	120	719
143	120	717
144	121	713
145	121	710
146	121	706
147	122	703
148	122	700
149	123	697
150	123	694
151	123	691
152	124	688
153	124	685
154	125	682
155	125	679
156	126	676
157	126	673
158	126	670
159	127	667
160	127	664
161	127	661
162	128	658
163	128	655
164	128	652
165	129	650
166	129	647
167	130	645
168	130	643
169	131	640
170	131	638
171	131	635
172	132	632
173	132	630
174	133	627
175	133	625
176	134	623
177	134	620
178	134	618
179	135	616
180	135	613
181	136	612
182	136	609
183	136	607
184	137	605
185	137	603
186	138	601
187	138	599
188	139	597
189	139	595
190	140	593
191	140	591
192	140	589
193	141	587
194	141	585
195	142	583
196	142	582
197	143	579
198	143	578
199	144	576
200	144	574
201	144	572
202	145	570
203	145	568
204	146	567
205	146	565
206	147	563
207	147	562
208	148	560
209	148	558
210	148	556
211	149	555
212	149	553
213	150	552
214	151	551
215	151	549
216	151	548
217	152	546
218	152	544
219	153	543
220	153	541
221	154	540
222	154	539
223	155	537
224	155	536
225	156	534
226	156	532
227	156	531
228	157	529
229	157	528
230	158	527
231	158	525
232	159	523
233	159	522
234	160	521
235	160	519
236	161	518
237	161	516
238	161	515
239	162	514
240	162	512
241	163	511
242	163	510
243	164	509
244	164	508
245	165	506
246	165	505
247	166	504
248	166	502
249	167	501
250	167	499
251	167	498
252	168	497
253	168	495
254	169	494
255	169	493
256	170	491
257	170	490
258	170	489
259	171	487
260	171	486
261	172	485
262	172	484
263	173	483
264	173	481
265	174	480
266	174	479
267	175	478
268	175	476
269	175	475
270	176	474
271	176	473
272	177	472
273	177	470
274	178	469
275	178	468
276	179	467
277	179	466
278	179	464
279	180	463
280	180	462
281	181	461
282	181	460
283	182	458
284	182	457
285	182	456
286	183	455
287	183	454
288	184	453
289	184	452
290	185	450
291	185	449
292	185	448
293	186	447
294	186	446
295	187	444
296	187	443
297	187	442
298	188	441
299	188	440
300	189	439
301	189	438
302	190	437
303	190	436
304	191	435
305	191	434
306	191	432
307	192	431
308	192	430
309	193	429
310	193	428
311	194	427
312	194	426
313	194	425
314	195	424
315	195	423
316	196	422
317	196	421
318	196	420
319	197	419
320	197	418
321	198	417
322	198	416
323	199	415
324	199	414
325	199	413
326	200	412
327	200	411
328	201	410
329	201	409
330	202	408
331	202	407
332	202	406
333	203	405
334	203	404
335	204	403
336	204	402
337	205	401
338	205	400
339	205	399
340	206	398
341	206	397
342	207	396
343	207	395
344	207	394
345	208	394
346	208	393
347	209	392
348	209	391
349	210	390
350	210	389
351	211	388
352	211	387
353	211	386
354	212	385
355	212	384
356	213	383
357	213	383
358	214	382
359	214	381
360	214	380
361	215	379
362	215	378
363	216	377
364	216	376
365	216	375
366	217	374
367	217	373
368	218	373
369	218	372
370	219	371
371	219	370
372	219	369
373	220	368
374	220	367
375	221	367
376	221	366
377	222	365
378	222	364
379	222	363
380	223	362
381	223	361
382	224	361
383	224	360
384	225	359
385	225	358
386	226	357
387	226	357
388	226	356
389	227	355
390	227	354
391	228	353
392	228	353
393	229	352
394	229	351
395	229	350
396	230	349
397	230	349
398	231	348
399	231	347
400	231	346
401	232	345
402	232	344
403	233	344
404	233	343
405	233	342
406	234	341
407	234	340
408	235	339
409	235	339
410	236	338
411	236	337
412	237	336
413	237	336
414	237	335
415	238	334
416	238	333
417	238	332
418	239	332
419	239	331
420	240	330
421	240	329
422	241	328
423	241	328
424	241	327
425	242	326
426	242	325
427	243	325
428	243	324
429	244	323
430	244	322
431	244	321
432	245	321
433	245	320
434	245	319
435	246	318
436	246	318
437	247	317
438	247	316
439	248	315
440	248	314
441	248	314
442	249	313
443	249	312
444	250	311
445	250	311
446	250	310
447	251	309
448	251	308
449	252	308
450	252	307
451	253	306
452	255	308
453	255	307
454	256	306
455	256	305
456	256	305
457	257	304
458	257	303
459	258	302
460	258	302
461	258	301
462	259	300
463	259	299
464	260	299
465	260	298
466	260	297
467	261	297
468	261	296
469	262	295
470	262	294
471	262	294
472	263	293
473	263	292
474	264	291
475	264	291
476	264	290
477	265	289
478	265	289
479	266	288
480	266	287
481	266	286
482	267	286
483	267	285
484	268	284
485	268	284
486	269	283
487	269	282
488	269	282
489	270	281
490	270	280
491	271	280
492	271	279
493	272	278
494	272	278
495	273	277
496	273	276
497	273	276
498	274	275
499	274	274
500	275	273
501	275	273
502	275	272
503	276	271
504	276	271
505	277	270
506	277	269
